323|GroupDisplay|Parameter|VYN|vyn-loadsurveylogs|\ |\ |
324|RepoterQueryList|Parameter|VRN|vrn-evt_vrn_read|\ |\ |
325|Energy Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
326|Volt Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
327|Block Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
328|Power Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
329|Pf Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
330|Frequency Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
331|Time Scale|Scaling|Time Scale|Time Scale|\ |\ |
332|Current Scale|Scaling|Energy Scale|Energy Scale|\ |\ |
333|RepoterQueryList|Parameter|VYN|vyn-evt_vyn_read|\ |\ |
334|RepoterQueryList|Parameter|VBN|vbn-evt_vbn_read|\ |\ |
335|RepoterQueryList|Parameter|kVA_Max_Demand|kVA_Max_Demand-evt_kVA_Max_Demand_read|\ |\ |
336|RepoterQueryList|Parameter|I|i-evt_i_read|\ |\ |
337|RepoterQueryList|Parameter|VLN|vln-evt_vln_read|\ |\ |
338|RepoterQueryList|Parameter|kw|kw-evt_kw_read|\ |\ |
339|RepoterQueryList|Parameter|PF|pf-evt_pf_read|\ |\ |
340|Block Energy Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
341|Block Volt Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
342|Block Block Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
343|Block Power Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
344|Block Pf Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
345|Block Frequency Scale|Scaling|Block Energy Scale|Block Energy Scale|\ |\ |
346|Block Time Scale|Scaling|Block Time Scale|Block Time Scale|\ |\ |
347|RepoterQueryList|Parameter|kVAh_exp_read|kVAh_exp-evt_kVAh_exp_read|\ |\ |
348|RepoterQueryList|Parameter|kVAh_exp_con|kVAh_exp-evt_kVAh_exp_con|\ |\ |
349|Current ScaleRPH|Scaling|Current ScaleRPH|Current ScaleRPH|\ |\ |
350|Global|REPORT_DISPLAY|Format|dd/MM/yyyy HH:mm:ss|\ |\ |
351|dcsgStage|Parameter|Stage 2|1|\ |\ |
352|dcsgStage|Parameter|Stage 2|2|\ |\ |
353|dcsgStage|Parameter|Stage 2|3|\ |\ |
356|GroupDisplay|Parameter|l_kwh_exp|kwh_exp-LoadsurveyExport|||
357|GroupDisplay|Parameter|Cum_kwh_exp|cum_kwh-LoadsurveyExport|||
